,avaliacao,id_filme,nome,categoria
315,4.4615492072361524,318,"Shawshank Redemption, The (1994)",Drama
843,4.4304398148148145,858,"Godfather, The (1972)",Crime|Drama
49,4.362301299120471,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
523,4.323413762287757,527,Schindler's List (1993),Drama|War
1195,4.3108108108108105,1221,"Godfather: Part II, The (1974)",Crime|Drama
10216,4.282041728763041,58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
1935,4.267864271457086,2019,Seven Samurai (Shichinin no samurai) (1954),Action|Drama
2874,4.264247720364741,2959,Fight Club (1999),Action|Crime|Drama|Thriller
9468,4.263247863247863,44555,"Lives of Others, The (Das Leben der Anderen) (2006)",Drama
3348,4.262038073908175,3435,Double Indemnity (1944),Crime|Drama|Film-Noir
737,4.2607063121575,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
5916,4.259924780610113,6016,City of God (Cidade de Deus) (2002),Action|Crime|Drama
1173,4.247295742232451,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
587,4.244194947690738,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
1186,4.241078208048595,1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
887,4.239910937934873,904,Rear Window (1954),Mystery|Thriller
1155,4.239072847682119,1178,Paths of Glory (1957),Drama|War
1169,4.234154050906671,1193,One Flew Over the Cuckoo's Nest (1975),Comedy|Drama
2945,4.2313797313797314,3030,Yojimbo (1961),Action|Comedy|Crime|Drama|Thriller
1256,4.230975828111012,1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery
905,4.224624060150376,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
895,4.220528455284553,912,Casablanca (1942),Drama|Romance
891,4.208398376522011,908,North by Northwest (1959),Adventure|Mystery|Thriller
293,4.2078439856595375,296,Pulp Fiction (1994),Comedy|Crime|Drama
4134,4.206935123042506,4226,Memento (2000),Crime|Drama|Mystery|Thriller
1178,4.205747126436782,1203,12 Angry Men (1957),Drama
2487,4.200272622417951,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
1187,4.196810233160622,1213,Goodfellas (1990),Crime|Drama
1183,4.1782982791587,1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western
1171,4.177740303541316,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
5195,4.173661360347323,5291,Rashomon (Rashômon) (1950),Crime|Drama|Mystery
4879,4.171664167916042,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
896,4.170038167938931,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
1224,4.168661285833565,1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
2773,4.16336465527001,2858,American Beauty (1999),Drama
