,avaliacao,id_filme,nome,categoria
315,4.467652261814506,318,"Shawshank Redemption, The (1994)",Drama
732,4.392694063926941,745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
4879,4.390052356020942,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
49,4.380942788074134,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
1125,4.373958790004384,1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
2937,4.368811881188119,3022,"General, The (1927)",Comedy|War
523,4.362922347362181,527,Schindler's List (1993),Drama|War
1172,4.350514335740862,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
9468,4.341463414634147,44555,"Lives of Others, The (Das Leben der Anderen) (2006)",Drama
2945,4.337579617834395,3030,Yojimbo (1961),Action|Comedy|Crime|Drama|Thriller
708,4.318389752973467,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
887,4.317422434367542,904,Rear Window (1954),Mystery|Thriller
2240,4.311190738699008,2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
1198,4.3111702127659575,1224,Henry V (1989),Drama|War
1197,4.302726543704892,1223,Wallace & Gromit: A Grand Day Out (1989),Adventure|Animation|Children|Comedy|Sci-Fi
10315,4.295180722891566,60069,WALL·E (2008),Adventure|Animation|Children|Comedy|Romance|Sci-Fi
933,4.293939393939394,950,"Thin Man, The (1934)",Comedy|Mystery
10216,4.283171521035599,58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
1113,4.278317565839939,1136,Monty Python and the Holy Grail (1975),Comedy
895,4.272365339578454,912,Casablanca (1942),Drama|Romance
881,4.261904761904762,898,"Philadelphia Story, The (1940)",Comedy|Romance
1173,4.261369576581286,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
882,4.259489302967564,899,Singin' in the Rain (1952),Comedy|Musical|Romance
1935,4.256317689530686,2019,Seven Samurai (Shichinin no samurai) (1954),Action|Drama
2273,4.25625,2357,Central Station (Central do Brasil) (1998),Drama
905,4.250712250712251,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
2119,4.2478991596638656,2203,Shadow of a Doubt (1943),Film-Noir|Thriller
5520,4.246887966804979,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Children|Fantasy
3348,4.245247148288973,3435,Double Indemnity (1944),Crime|Drama|Film-Noir
1124,4.244252873563219,1147,When We Were Kings (1996),Documentary
3342,4.243243243243243,3429,Creature Comforts (1989),Animation|Comedy
1232,4.235955056179775,1260,M (1931),Crime|Film-Noir|Thriller
1186,4.235632183908046,1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
2124,4.23469387755102,2208,"Lady Vanishes, The (1938)",Drama|Mystery|Thriller
913,4.233438485804417,930,Notorious (1946),Film-Noir|Romance|Thriller
1256,4.232091690544412,1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery
934,4.229400749063671,951,His Girl Friday (1940),Comedy|Romance
5871,4.229166666666667,5971,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Fantasy
