,avaliacao,id_filme,nome,categoria
330,4.666666666666667,334,Vanya on 42nd Street (1994),Drama
2487,4.552038448790189,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
10216,4.548634812286689,58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
315,4.505029521102121,318,"Shawshank Redemption, The (1994)",Drama
933,4.5,950,"Thin Man, The (1934)",Comedy|Mystery
257,4.48122866894198,260,Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977),Action|Adventure|Sci-Fi
1173,4.469671440606572,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
49,4.451971688574318,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
1171,4.4497345435862306,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
913,4.443548387096774,930,Notorious (1946),Film-Noir|Romance|Thriller
1256,4.443478260869565,1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery
1165,4.4375,1189,"Thin Blue Line, The (1988)",Documentary
4899,4.434661465589301,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Action|Adventure|Fantasy
1251,4.433333333333334,1279,Night on Earth (1991),Comedy|Drama
7039,4.431705707687232,7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Fantasy
5852,4.402250146113384,5952,"Lord of the Rings: The Two Towers, The (2002)",Action|Adventure|Fantasy
1935,4.391684901531729,2019,Seven Samurai (Shichinin no samurai) (1954),Action|Drama
2124,4.386363636363637,2208,"Lady Vanishes, The (1938)",Drama|Mystery|Thriller
888,4.383333333333334,905,It Happened One Night (1934),Comedy|Romance
1155,4.37962962962963,1178,Paths of Glory (1957),Drama|War
894,4.355072463768116,911,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller
2874,4.3519321054532325,2959,Fight Club (1999),Action|Crime|Drama|Thriller
938,4.351351351351352,955,Bringing Up Baby (1938),Comedy
3249,4.348837209302325,3334,Key Largo (1948),Crime|Drama|Film-Noir|Thriller
1210,4.348214285714286,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama|Fantasy
5684,4.343042071197411,5782,"Professional, The (Le Professionnel) (1981)",Action|Drama|Thriller
843,4.342611683848797,858,"Godfather, The (1972)",Crime|Drama
1192,4.335205992509363,1218,"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller
1183,4.334269662921348,1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western
1879,4.333333333333333,1963,Take the Money and Run (1969),Comedy|Crime
5520,4.333128834355828,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Children|Fantasy
108,4.331347671360049,110,Braveheart (1995),Action|Drama|War
1184,4.319643401402011,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1220,4.315789473684211,1248,Touch of Evil (1958),Crime|Film-Noir|Thriller
1113,4.312527765437583,1136,Monty Python and the Holy Grail (1975),Comedy
537,4.312247435498912,541,Blade Runner (1982),Adventure|Drama|Film-Noir|Sci-Fi|Thriller
911,4.3076923076923075,928,Rebecca (1940),Drama|Mystery|Romance|Thriller
4134,4.298396017699115,4226,Memento (2000),Crime|Drama|Mystery|Thriller
